Inn; FullName ; shortname ; region ; founder ; Kpp ; students_2018 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7453019764;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ (НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ)"" "; ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ (НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ) ; Челябинская область ; Министерство образования и науки Российской Федерации ; 745 301 001.00   ; 32 257.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7453042876;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ "; ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ; Челябинская область ; Министерство здравоохранения Российской Федерации ; 745 301 001.00   ; 4 241.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7414002238;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МАГНИТОГОРСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. Г.И. НОСОВА"" "; МАГНИТОГОРСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. Г.И. НОСОВА ; Челябинская область ; Министерство образования и науки Российской Федерации ; 745 601 001.00   ; 12 919.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7447012841;" Федеральное государственное бюджетное образовательное учреждение высшего образования ""Челябинский государственный университет"" "; Челябинский государственный университет ; Челябинская область ; Министерство образования и науки Российской Федерации ; 744 701 001.00   ; 13 680.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7418006770;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ"" "; ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ ; Челябинская область ; Министерство сельского хозяйства Российской Федерации ; 742 401 001.00   ; 6 670.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7453041664;" Федеральное государственное бюджетное образовательное учреждение высшего образования ""Южно-Уральский государственный гуманитарно-педагогический университет"" "; Южно-Уральский государственный гуманитарно-педагогический университет ; Челябинская область ; Министерство образования и науки Российской Федерации ; 745 301 001.00   ; 11 152.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7451002420;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ФИЗИЧЕСКОЙ КУЛЬТУРЫ"" "; УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ФИЗИЧЕСКОЙ КУЛЬТУРЫ ; Челябинская область ; Министерство спорта Российской Федерации ; 745 101 001.00   ; 4 818.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7451028844;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЧЕЛЯБИНСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ КУЛЬТУРЫ"" "; ЧЕЛЯБИНСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ КУЛЬТУРЫ ; Челябинская область ; Министерство культуры Российской Федерации ; 745 101 001.00   ; 2 890.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7451035369; ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ ИМЕНИ П.И. ЧАЙКОВСКОГО ;" ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ ИСКУССТВ ИМЕНИ П.И. ЧАЙКОВСКОГО"" "; Челябинская область ; Министерство культуры Челябинской области ; 745 101 001.00   ; 247.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7446011965; Магнитогорская государственная консерватория (академия) имени М.И. Глинки ;" государственное бюджетное образовательное учреждение высшего образования Челябинской области ""Магнитогорская государственная консерватория (академия) имени М.И. Глинки"" "; Челябинская область ; Челябинская область в лице Министерства культуры Челябинской области ; 745 601 001.00   ; 279.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
8602200001; СУРГУТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ;" БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""СУРГУТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"" "; Ханты-Мансийский автономный округ ; Департамент образования и молодежной политики Ханты-Мансийского автономного округа - Югры ; 860 201 001.00   ; 6 794.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
8601016987;" федеральное государственное бюджетное образовательное учреждение высшего образования ""Югорский государственный университет"" "; Югорский государственный университет ; Ханты-Мансийский автономный округ ; Министерство образования и науки Российской Федерации ; 860 101 001.00   ; 5 690.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
8602200530; СУРГУТСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ;" БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""СУРГУТСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ"" "; Ханты-Мансийский автономный округ ; Департамент образования и молодежной политики Ханты-Мансийского автономного округа - Югры ; 860 201 001.00   ; 2 670.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
8602200530; Сургутский государственный педагогический университет ;" бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры ""Сургутский государственный педагогический университет"" "; Ханты-Мансийский автономный округ ; Департамент образования и молодежной политики Ханты-Мансийского автономного округа - Югры ; 860 201 001.00   ; 2 670.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
8603039002;" Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижневартовский государственный университет"" "; Нижневартовский государственный университет ; Ханты-Мансийский автономный округ ; Министерство образования и науки Российской Федерации ; 860 301 001.00   ; 4 111.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
8601014919; ХАНТЫ-МАНСИЙСКАЯ ГОСУДАРСТВЕННАЯ МЕДИЦИНСКАЯ АКАДЕМИЯ ;" БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ХАНТЫ-МАНСИЙСКАЯ ГОСУДАРСТВЕННАЯ МЕДИЦИНСКАЯ АКАДЕМИЯ"" "; Ханты-Мансийский автономный округ ; Ханты-Мансийский автономный округ-Югра ; 860 101 001.00   ; 555.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2724018158;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ"" "; ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ ; Хабаровский край ; Федеральное агентство железнодорожного транспорта ; 272 401 001.00   ; 14 243.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2725006620;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТИХООКЕАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"" "; ТИХООКЕАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ; Хабаровский край ; Министерство образования и науки Российской Федерации ; 272 501 001.00   ; 15 596.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2721020896;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ "; ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ; Хабаровский край ; Министерство здравоохранения Российской Федерации ; 272 101 001.00   ; 2 864.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2727000769;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КОМСОМОЛЬСКИЙ-НА-АМУРЕ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"" "; КОМСОМОЛЬСКИЙ-НА-АМУРЕ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ; Хабаровский край ; Министерство образования и науки Российской Федерации ; 270 301 001.00   ; 4 906.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2725006638;" Федеральное государственное бюджетное образовательное учреждение высшего образования ""Хабаровский государственный университет экономики и права"" "; Хабаровский государственный университет экономики и права ; Хабаровский край ; Министерство образования и науки Российской Федерации ; 272 501 001.00   ; 5 895.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2727000776;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""АМУРСКИЙ ГУМАНИТАРНО-ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"" "; АМУРСКИЙ ГУМАНИТАРНО-ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ; Хабаровский край ; Министерство образования и науки Российской Федерации ; 270 301 001.00   ; 2 622.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2722010146;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ ФИЗИЧЕСКОЙ КУЛЬТУРЫ"" "; ДАЛЬНЕВОСТОЧНАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ ФИЗИЧЕСКОЙ КУЛЬТУРЫ ; Хабаровский край ; Министерство спорта Российской Федерации ; 272 201 001.00   ; 945.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
2723003494;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ХАБАРОВСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ КУЛЬТУРЫ"" "; ХАБАРОВСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ КУЛЬТУРЫ ; Хабаровский край ; Министерство культуры Российской Федерации ; 272 301 001.00   ; 842.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7303002000;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УЛЬЯНОВСКИЙ ИНСТИТУТ ГРАЖДАНСКОЙ АВИАЦИИ ИМЕНИ ГЛАВНОГО МАРШАЛА АВИАЦИИ Б.П. БУГАЕВА"" "; УЛЬЯНОВСКИЙ ИНСТИТУТ ГРАЖДАНСКОЙ АВИАЦИИ ИМЕНИ ГЛАВНОГО МАРШАЛА АВИАЦИИ Б.П. БУГАЕВА ; Ульяновская область ; ФЕДЕРАЛЬНОЕ АГЕНТСТВО ВОЗДУШНОГО ТРАНСПОРТА ; 732 501 001.00   ; 4 095.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7303017581;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"" "; УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ; Ульяновская область ; Министерство образования и науки Российской Федерации ; 732 501 001.00   ; 9 661.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7325000052;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ"" "; УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ; Ульяновская область ; Министерство образования и науки Российской Федерации ; 732 501 001.00   ; 7 126.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7325001698;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ И.Н. УЛЬЯНОВА"" "; УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ И.Н. УЛЬЯНОВА ; Ульяновская область ; Министерство образования и науки Российской Федерации ; 732 501 001.00   ; 7 796.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7303009510;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ ИМЕНИ П.А. СТОЛЫПИНА"" "; УЛЬЯНОВСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ ИМЕНИ П.А. СТОЛЫПИНА ; Ульяновская область ; Министерство сельского хозяйства Российской Федерации ; 732 501 001.00   ; 5 669.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7202028202;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТЮМЕНСКИЙ ИНДУСТРИАЛЬНЫЙ УНИВЕРСИТЕТ"" "; ТЮМЕНСКИЙ ИНДУСТРИАЛЬНЫЙ УНИВЕРСИТЕТ ; Тюменская область ; Министерство образования и науки Российской Федерации ; 720 301 001.00   ; 28 180.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7202010861;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"" "; ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ; Тюменская область ; Министерство образования и науки Российской Федерации ; 720 301 001.00   ; 24 214.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7203001010;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ "; ТЮМЕНСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ; Тюменская область ; Министерство здравоохранения Российской Федерации ; 720 301 001.00   ; 4 038.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
7202010269;" ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ СЕВЕРНОГО ЗАУРАЛЬЯ"" "; ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ СЕВЕРНОГО ЗАУРАЛЬЯ ; Тюменская область ; Министерство сельского хозяйства Российской Федерации ; 720 301 001.00   ; 5 483.00   ;;;;;;;;;;;;;;;;;;;;;;;;;;;
